session,question,answer,explanation
1,"Variabel dalam pemrograman dapat menyimpan data yang nilainya berubah selama program berjalan.",True,"Ya, variabel dirancang untuk menyimpan data yang dapat diubah selama eksekusi program."
1,"Microsoft Word adalah contoh bahasa pemrograman.",False,"Microsoft Word adalah aplikasi pengolah kata, bukan bahasa pemrograman."
1,"Perintah “if-else” dalam pemrograman digunakan untuk membuat keputusan berdasarkan kondisi tertentu.",True,"Ya, perintah “if-else” digunakan untuk eksekusi bersyarat berdasarkan evaluasi kondisi."
1,"RGB adalah model warna yang digunakan untuk desain cetak seperti majalah dan brosur.",False,"RGB adalah model warna untuk tampilan digital, sedangkan CMYK digunakan untuk desain cetak."
1,"File .mp4 adalah format yang umum digunakan untuk menyimpan video.",True,".mp4 adalah format kontainer video yang umum digunakan."
1,"CorelDRAW adalah software untuk editing video seperti Adobe Premiere Pro.",False,"CorelDRAW adalah software untuk desain grafis vektor, bukan untuk editing video."
1,"Router digunakan untuk menghubungkan jaringan yang berbeda.",True,"Ya, router berfungsi menghubungkan dan mengarahkan data antar jaringan yang berbeda."
1,"MAC address adalah alamat logis yang ditetapkan oleh sistem operasi untuk perangkat jaringan.",False,"MAC address adalah alamat fisik yang ditetapkan oleh produsen perangkat keras, bukan alamat logis oleh sistem operasi."
1,"“Ayam Jantan dari Timur” adalah julukan dari Sultan Hasanuddin.",True,"Sultan Hasanuddin dari Gowa mendapat julukan ini karena keberaniannya melawan penjajah."
1,"Belanda pertama kali mendarat di Indonesia di Pulau Ternate, Maluku.",False,"Belanda pertama kali mendarat di Banten pada tahun 1596, bukan Ternate."
2,"Portugis adalah bangsa Eropa pertama yang datang ke Indonesia untuk berdagang rempah-rempah.",True,"Portugis tiba di Maluku pada awal abad ke-16 untuk perdagangan rempah-rempah."
2,"“Dokuritsu Junbi Inkai” adalah Bahasa Jepang dari BPUPKI.",False,"“Dokuritsu Junbi Inkai” adalah BPUPKI dalam bahasa Jepang, tetapi istilah yang benar adalah “Dokuritsu Junbi Cosakai.”"
2,"Kerajaan Hindu terakhir yang berjaya di Indonesia adalah Majapahit.",True,"Majapahit adalah kerajaan Hindu terakhir yang berjaya hingga abad ke-15."
2,"Sumpah Palapa diucapkan oleh Gajah Mada dari Kerajaan Majapahit.",True,"Gajah Mada mengucapkan Sumpah Palapa untuk mempersatukan Nusantara di bawah Majapahit."
2,"VOC menggunakan politik adu domba yang dikenal dengan istilah Devide et Impera.",True,"VOC menggunakan strategi Devide et Impera untuk melemahkan kerajaan-kerajaan lokal."
2,"Jendral Soedirman adalah tokoh pahlawan yang dikenal sebagai “Bapak Proklamator Kemerdekaan Indonesia.”",False,"Jenderal Soedirman adalah pemimpin militer, bukan Bapak Proklamator (yang merujuk pada Soekarno dan Mohammad Hatta)."
2,"Hubungan antara burung jalak dan kerbau termasuk simbiosis parasitisme.",False,"Simbiosis mutualisme, karena burung jalak memakan parasit di tubuh kerbau, dan kerbau mendapat manfaat dari berkurangnya parasit."
2,"Rabun senja disebabkan oleh kekurangan vitamin A.",True,"Vitamin A penting untuk pembentukan rodopsin pada retina, yang berfungsi dalam penglihatan malam."
2,"Neuron berfungsi sebagai penghantar impuls saraf.",True,"Neuron adalah sel saraf yang bertugas menghantarkan impuls dari dan ke otak."
2,"Gelombang elektromagnetik memerlukan medium untuk merambat.",False,"Gelombang elektromagnetik, seperti cahaya, dapat merambat di ruang hampa tanpa medium."
3,"Troposfer adalah lapisan atmosfer tempat paling banyak terjadi fenomena cuaca.",True,"Troposfer adalah lapisan terbawah atmosfer tempat terjadinya awan, hujan, petir, dan fenomena cuaca lainnya."
3,"Cahaya dalam vakum merambat dengan kecepatan 3 × 10⁸ m/s.",True,"Ini adalah kecepatan cahaya maksimum dalam vakum."
3,"O₂ merupakan senyawa kimia.",False,"O₂ adalah unsur (molekul unsur), bukan senyawa. Senyawa terdiri dari dua atau lebih unsur berbeda."
3,"Dalam atletik, nomor lari estafet selalu melibatkan empat pelari.",True,"Ya, lari estafet dalam perlombaan resmi selalu melibatkan empat pelari per tim."
3,"Nomor-nomor lari jarak pendek dalam atletik yang diperlombakan adalah 200 m, 300 m, 400 m.",False,"Nomor lari jarak pendek resmi adalah 100 m, 200 m, dan 400 m, bukan 300 m."
3,"Pada awalnya permainan sepak bola dikembangkan di Kerajaan Inggris.",True,"Sepak bola modern dikembangkan di Inggris pada abad ke-19."
3,"Dalam permainan bola basket, setiap tim terdiri dari 7 pemain di lapangan.",False,"Dalam bola basket, setiap tim terdiri dari 5 pemain di lapangan."
3,"Dalam senam, gerakan ""split"" adalah gerakan yang menunjukkan fleksibilitas dan keseimbangan.",True,"Ya, gerakan split menunjukkan fleksibilitas dan keseimbangan dalam senam."
3,"Dalam renang, gaya bebas adalah gaya yang paling cepat dibandingkan dengan gaya lainnya.",True,"Gaya bebas adalah gaya renang yang paling cepat karena tekniknya memungkinkan gerakan lebih efisien."
3,"Fotosintesis hanya terjadi pada malam hari.",False,"Fotosintesis membutuhkan cahaya, sehingga terjadi pada siang hari, bukan malam."
