round,category,question,answer,explanation
1,Sejarah,"Siapakah tokoh yang mengetik naskah asli Proklamasi Kemerdekaan Indonesia?","Sayuti Melik","Sayuti Melik mengetik naskah proklamasi yang ditulis oleh Soekarno."
1,Sejarah,"Apa nama peristiwa yang mendesak Soekarno dan Hatta untuk segera memproklamasikan kemerdekaan?","Peristiwa Rengasdengklok","Peristiwa ini terjadi pada 16 Agustus 1945 dan bertujuan mendesak proklamasi segera."
1,Sejarah,"Apa nama strategi politik adu domba yang diterapkan VOC?","Devide et Impera","VOC menggunakan strategi memecah belah untuk menguasai wilayah Indonesia."
1,Sejarah,"Apa isi slogan Ki Hajar Dewantara tentang pendidikan?","Ing ngarsa sung tuladha, ing madya mangun karsa, tut wuri handayani.","Slogan ini menekankan peran pendidik: di depan memberi teladan, di tengah membangun semangat, di belakang memberi dorongan."
1,Sejarah,"Siapa Ketua Partai Komunis Indonesia saat G30S/PKI?","D.N. Aidit","D.N. Aidit adalah pemimpin utama PKI saat peristiwa 1965."
2,IPA,"Sebuah mobil bergerak dengan kecepatan tetap 72 km/jam. Hitung kecepatan dalam satuan m/s.","20 m/s","72 km/jam = 72 × (1000 m)/(3600 s) = 20 m/s."
2,IPA,"Jika benda bermassa 5 kg diberi gaya 20 N, berapa percepatan yang dialami benda tersebut?","4 m/s²","Menggunakan F = ma, maka a = F/m = 20/5 = 4 m/s²."
2,IPA,"Hitung kuat arus listrik pada hambatan 5Ω dan tegangan 12V.","2,4 A","Menggunakan hukum Ohm: I = V/R = 12/5 = 2,4 A."
2,IPA,"Apa yang terjadi pada suara sirene ambulans saat mendekat dan menjauh dari pengamat?","Efek Doppler - nada naik saat mendekat, turun saat menjauh","Efek Doppler adalah perubahan frekuensi gelombang karena gerak relatif sumber dan pengamat."
2,IPA,"Hitung energi potensial elastis dari pegas dengan k = 200 N/m dan x = 5 cm.","0,25 J","EP = ½kx² = ½ × 200 × (0,05)² = 0,25 J."
3,Penjaskes,"Apa alat utama dalam lompat tinggi?","Mistar dan matras","Mistar sebagai target ketinggian dan matras untuk pendaratan yang aman."
3,Penjaskes,"Apa tujuan pemanasan sebelum olahraga?","Mencegah cedera dan mempersiapkan tubuh","Pemanasan meningkatkan fleksibilitas otot dan kesiapan sistem kardiovaskular."
3,Penjaskes,"Gerakan kaki dalam renang gaya dada mirip dengan gerakan apa?","Gerakan katak","Renang gaya dada meniru gerakan kaki katak untuk menghasilkan dorongan ke depan."
3,Penjaskes,"Apa nama organisasi pencak silat di Indonesia?","IPSI","IPSI adalah singkatan dari Ikatan Pencak Silat Indonesia."
3,Penjaskes,"Apa tujuan utama pencak silat selain bela diri?","Membentuk karakter dan disiplin","Pencak silat juga mengajarkan pengendalian diri, etika, dan nilai-nilai luhur."
4,Informatika,"Apa yang dimaksud dengan algoritma dalam pemrograman?","Langkah-langkah penyelesaian masalah secara sistematis","Algoritma adalah urutan instruksi logis untuk menyelesaikan suatu masalah."
4,Informatika,"Apa fungsi indentasi dalam Python?","Menentukan blok kode dan struktur program","Indentasi dalam Python menggantikan kurung kurawal untuk menentukan scope kode."
4,Informatika,"Apa kepanjangan dari JSON?","JavaScript Object Notation","JSON adalah format pertukaran data yang ringan dan mudah dibaca manusia."
4,Informatika,"Apa itu rendering dalam multimedia?","Proses menghasilkan gambar akhir dari model 3D","Rendering mengkonversi data 3D menjadi gambar 2D yang dapat ditampilkan."
4,Informatika,"Apa fungsi utama DNS?","Mengonversi nama domain menjadi alamat IP","DNS memungkinkan pengguna mengakses website menggunakan nama domain alih-alih IP."
5,Informatika,"Apa fungsi protokol FTP?","Transfer file antar komputer dalam jaringan","FTP (File Transfer Protocol) memungkinkan upload dan download file melalui jaringan."
5,IPA,"Apa itu mutasi gen?","Perubahan urutan basa DNA dalam gen","Mutasi dapat bersifat spontan atau terinduksi dan menyebabkan variasi genetik."
5,Sejarah,"Siapa Ketua BPUPKI?","Dr. Radjiman Wedyodiningrat","Beliau memimpin BPUPKI dalam merumuskan dasar negara Indonesia."
5,Penjaskes,"Dalam tenis meja, berapa poin untuk memenangkan satu set?","11 poin","Pemain harus mencapai 11 poin dengan selisih minimal 2 poin dari lawan."
5,Informatika,"Apa perbedaan utama RGB dan CMYK dalam multimedia?","RGB untuk layar (cahaya), CMYK untuk cetak (tinta)","RGB menggunakan kombinasi Red-Green-Blue, CMYK menggunakan Cyan-Magenta-Yellow-Black."
